,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(0.395,34.145) → (0.395,34.144)",0.073996210720306,143426.63699564262,"(0.395,34.145)","(0.395,34.144)",Teso District,Teso District,Busia,Busia
"(0.395,34.146) → (0.394,34.147)",0.12190746800461,143812.46613863442,"(0.395,34.146)","(0.394,34.147)",Teso District,Teso District,Busia,Busia
"(0.395,34.147) → (0.394,34.146)",0.082897591740711,143476.08757163252,"(0.395,34.147)","(0.394,34.146)",Teso District,Teso District,Busia,Busia
"(0.399,34.146)",0.063024340762667,143482.0147133378,"(0.399,34.146)","(0.399,34.146)",Teso District,Teso District,Busia,Busia
"(0.4,34.151) → (0.399,34.152)",0.11447957571932,143425.3565921205,"(0.4,34.151)","(0.399,34.152)",Teso District,Teso District,Busia,Busia
"(0.402,34.147) → (0.401,34.148)",0.17772615586979001,143670.75849092874,"(0.402,34.147)","(0.401,34.148)",Teso District,Teso District,Busia,Busia
"(0.403,34.147)",0.054695725385843,143841.2745377943,"(0.403,34.147)","(0.403,34.147)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.461,34.167)",4.8863450114527,17843.94345406889,"(0.461,34.124)","(0.461,34.167)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.474,34.167)",5.0933034510539,4465.322693326181,"(0.461,34.124)","(0.474,34.167)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.475,34.161)",4.4973100236689,4452.450932891465,"(0.461,34.124)","(0.475,34.161)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.494,34.178)",6.9941314248868,4450.507361468382,"(0.461,34.124)","(0.494,34.178)",Teso District,Teso District,Busia,Busia
"(0.461,34.124) → (0.495,34.193)",8.5334366982901,4452.4111848085695,"(0.461,34.124)","(0.495,34.193)",Teso District,Teso District,Busia,Busia
"(0.461,34.15) → (0.461,34.167)",1.9545380045837,4454.170045714424,"(0.461,34.15)","(0.461,34.167)",Teso District,Teso District,Busia,Busia
"(0.478,34.151) → (0.461,34.124)",3.561499195644,2103.3580771429224,"(0.478,34.151)","(0.461,34.124)",Teso District,Teso District,Busia,Busia
"(0.603,34.275) → (0.602,34.275)",0.09542160786617401,31483.2187422393,"(0.603,34.275)","(0.602,34.275)",Teso District,Teso District,Busia,Busia
"(0.603,34.276) → (0.604,34.274)",0.26881330299597,31507.82722182445,"(0.603,34.276)","(0.604,34.274)",Teso District,Teso District,Busia,Busia
"(0.604,34.276) → (0.604,34.274)",0.13648691864710003,31550.577604791484,"(0.604,34.276)","(0.604,34.274)",Teso District,Teso District,Busia,Busia
"(0.604,34.276)",0.0,31588.023497233356,"(0.604,34.276)","(0.604,34.276)",Teso District,Teso District,Busia,Busia
"(0.605,34.275) → (0.604,34.273)",0.19733648066145004,31496.686529571736,"(0.605,34.275)","(0.604,34.273)",Teso District,Teso District,Busia,Busia
"(0.606,34.274) → (0.605,34.275)",0.14780975193268,31496.967710454435,"(0.606,34.274)","(0.605,34.275)",Teso District,Teso District,Busia,Busia
"(0.606,34.282)",0.08309909773719901,31509.128841905742,"(0.606,34.282)","(0.606,34.282)",Teso District,Teso District,Busia,Busia
"(0.61,34.277) → (0.61,34.276)",0.12094620620706,31581.697076722252,"(0.61,34.277)","(0.61,34.276)",Teso District,Teso District,Busia,Busia
"(0.613,34.287) → (0.613,34.286)",0.10564807354636001,31589.275864334308,"(0.613,34.287)","(0.613,34.286)",Teso District,Teso District,Busia,Busia
"(0.585,35.512) → (0.584,35.51)",0.2105091617608,43454.20509894274,"(0.585,35.512)","(0.584,35.51)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.586,35.508) → (0.583,35.505)",0.36115860607032,43343.882735782056,"(0.586,35.508)","(0.583,35.505)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.59,35.511) → (0.59,35.508)",0.34428372662021006,43310.02997132657,"(0.59,35.511)","(0.59,35.508)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.595,35.507) → (0.594,35.506)",0.22832562650672,43445.50213041242,"(0.595,35.507)","(0.594,35.506)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.596,35.508) → (0.594,35.507)",0.31535893405233,43402.692490361056,"(0.596,35.508)","(0.594,35.507)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(0.602,35.506) → (0.601,35.503)",0.2727634362164,43455.92792331852,"(0.602,35.506)","(0.601,35.503)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.03,35.533)",0.0,13145.480076929758,"(1.03,35.533)","(1.03,35.533)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.03,35.538)",0.0,13186.598648526699,"(1.03,35.538)","(1.03,35.538)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.032,35.523) → (1.032,35.521)",0.17606165930576997,13156.298560952788,"(1.032,35.523)","(1.032,35.521)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.033,35.544)",0.0,13173.60504702681,"(1.033,35.544)","(1.033,35.544)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
"(1.043,35.544)",0.0,13189.240177509737,"(1.043,35.544)","(1.043,35.544)",Lugari District,Lugari District,Elegeyo-Marakwet,Elegeyo-Marakwet
