,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
70,2020-04-06 1600,33.0,29.4,3.6,11.842105263158,7.493194291140946,3.9111328125,7.4060455628667725,3.8232421875,122220303120.0,122220303033.0,2
71,2020-04-06 1600,24.0,29.0,-5.0,-16.666666666667,7.493194291140946,3.9111328125,7.493194291140946,3.8232421875,122220303120.0,122220303031.0,2
72,2020-04-06 1600,33.0,42.6,-9.6,-22.018348623853,7.4060455628667725,3.8232421875,7.4060455628667725,3.9990234375,122220303033.0,122220303123.0,2
73,2020-04-06 1600,15.0,17.0,-2.0,-11.111111111110999,7.493194291140946,3.9111328125,7.318879600953956,3.9111328125,122220303120.0,122220303300.0,2
74,2020-04-06 1600,2392.0,1852.6,539.4,29.100129477773,7.493194291140946,3.9111328125,7.493194291140946,3.9111328125,122220303120.0,122220303120.0,2
75,2020-04-06 1600,30.0,33.0,-3.0,-8.8235294117647,7.493194291140946,3.9111328125,7.4060455628667725,3.9990234375,122220303120.0,122220303123.0,2
76,2020-04-06 1600,36.0,39.8,-3.8,-9.313725490196099,7.493194291140946,3.9111328125,7.493194291140946,3.9990234375,122220303120.0,122220303121.0,2
77,2020-04-06 1600,172.0,234.6,-62.6,-26.570458404074998,7.493194291140946,3.9111328125,7.4060455628667725,3.9111328125,122220303120.0,122220303122.0,2
78,2020-04-06 1600,23.0,19.6,3.4,16.504854368931998,7.318879600953956,3.8232421875,7.4060455628667725,3.9990234375,122220303211.0,122220303123.0,2
79,2020-04-06 1600,199.0,200.6,-1.6,-0.79365079365079,7.4060455628667725,3.8232421875,7.318879600953956,3.8232421875,122220303033.0,122220303211.0,2
80,2020-04-06 1600,4058.0,3187.0,871.0,27.321204516939,7.4060455628667725,3.8232421875,7.4060455628667725,3.8232421875,122220303033.0,122220303033.0,2
81,2020-04-06 1600,57.0,46.8,10.2,21.338912133891,7.4060455628667725,3.8232421875,7.493194291140946,3.8232421875,122220303033.0,122220303031.0,2
82,2020-04-06 1600,138.0,174.8,-36.8,-20.932878270762,7.4060455628667725,3.8232421875,7.318879600953956,3.9111328125,122220303033.0,122220303300.0,2
83,2020-04-06 1600,237.0,326.0,-89.0,-27.217125382263,7.4060455628667725,3.8232421875,7.4060455628667725,3.9111328125,122220303033.0,122220303122.0,2
84,2020-04-06 1600,29.0,34.8,-5.8,-16.201117318436,7.4060455628667725,3.8232421875,7.493194291140946,3.9111328125,122220303033.0,122220303120.0,2
85,2020-04-06 1600,37.0,35.2,1.8,4.9723756906077,7.493194291140946,3.8232421875,7.4060455628667725,3.8232421875,122220303031.0,122220303033.0,2
86,2020-04-06 1600,350.0,243.6,106.4,43.499591169256,7.493194291140946,3.8232421875,7.493194291140946,3.8232421875,122220303031.0,122220303031.0,2
87,2020-04-06 1600,14.0,29.6,-15.6,-50.980392156863005,7.493194291140946,3.8232421875,7.4060455628667725,3.9111328125,122220303031.0,122220303122.0,2
